Wall time,Step,Value
1626432388.008317,173,0.6797404885292053
1626432393.279754,245,0.7185655832290649
1626432409.709985,466,0.7657797932624817
1626432413.09593,511,0.7711167335510254
1626432416.552796,557,0.7752556204795837
1626432424.112493,659,0.7828560471534729
1626432434.768847,805,0.7914061546325684
1626432450.589377,1027,0.8004931807518005
1626432458.217224,1133,0.8038497567176819
1626432461.959679,1185,0.8053725361824036
1626432468.40273,1272,0.8076179027557373
1626432478.995664,1418,0.8112642168998718
1626432481.981428,1459,0.812181293964386
1626432484.613948,1495,0.8130155205726624
1626432485.809143,1511,0.8132949471473694
1626432488.574429,1549,0.8140614628791809
1626432489.805236,1566,0.8144169449806213
1626432516.700691,1941,0.8214872479438782
1626432518.116374,1961,0.8218845725059509
1626432557.836472,2504,0.8302698731422424
1626432563.151085,2578,0.8313431143760681
1626432571.495932,2694,0.8328413963317871
1626432572.604637,2709,0.833088219165802
1626432573.256416,2718,0.83323734998703
1626432599.758561,3084,0.8381340503692627
1626432611.544559,3242,0.8400528430938721
1626432613.331037,3266,0.8404058218002319
1626432635.437198,3567,0.8441129326820374
1626432637.918093,3601,0.8445470333099365
1626432641.915218,3655,0.8452448844909668
1626432642.941065,3669,0.8453978300094604
1626432668.883888,4024,0.8493225574493408
1626432675.113437,4110,0.8503000736236572
1626432675.98042,4122,0.8504154682159424
1626432680.30397,4182,0.8510729670524597
1626432683.620735,4228,0.851603090763092
1626432716.911112,4329,0.8928111791610718
1626432734.448729,4565,0.8984043002128601
1626432753.866564,4833,0.8988126516342163
1626432772.972265,5091,0.8999852538108826
1626432776.335418,5137,0.9002508521080017
1626432780.077162,5188,0.9007962346076965
1626432781.043533,5201,0.9008559584617615
1626432785.60522,5263,0.9011424779891968
1626432788.047904,5296,0.9015244245529175
1626432792.944136,5363,0.9020782113075256
1626432799.552442,5455,0.9025676846504211
1626432815.008673,5668,0.9035171270370483
1626432826.979327,5833,0.9042379856109619
1626432829.565312,5867,0.9044082164764404
1626432837.973084,5982,0.9051647782325745
1626432839.144532,5998,0.9050256013870239
1626432843.316719,6054,0.905034065246582
1626432849.606069,6139,0.9052400588989258
1626432856.017276,6226,0.9056000113487244
1626432859.863404,6280,0.9058926105499268
1626432863.835146,6335,0.9062305092811584
1626432866.389481,6370,0.9064421653747559
1626432880.839148,6570,0.9074663519859314
1626432892.593688,6731,0.9084683060646057
1626432894.047248,6751,0.9085367321968079
1626432901.318553,6851,0.9091557264328003
1626432906.429958,6920,0.9095203876495361
1626432911.73597,6992,0.9099196195602417
1626432916.363182,7055,0.9102659225463867
1626432930.741775,7254,0.9111841320991516
1626432944.119594,7437,0.9118719696998596
1626432946.178008,7465,0.9119898080825806
1626432959.419807,7645,0.9128842353820801
1626432965.63898,7731,0.913339376449585
1626432984.133968,7987,0.9144413471221924
1626432993.950648,8123,0.9148972630500793
1626433006.209075,8292,0.9154834747314453
1626433043.626059,8549,0.934118390083313
1626433044.070111,8555,0.932013213634491
1626433048.629067,8619,0.9331771731376648
1626433051.647284,8660,0.9333857893943787
1626433054.190127,8695,0.9319644570350647
1626433056.396129,8725,0.9329831004142761
1626433058.414353,8753,0.9333493709564209
1626433060.127647,8777,0.933321475982666
1626433060.268748,8779,0.9333988428115845
1626433087.772931,9153,0.9345065951347351
1626433094.953046,9253,0.9345681667327881
1626433097.759644,9292,0.9345449805259705
1626433100.326372,9328,0.9344448447227478
1626433102.608262,9360,0.9344710111618042
1626433116.044909,9548,0.9338117241859436
1626433127.89508,9713,0.933297336101532
1626433130.932163,9754,0.9333754777908325
1626433137.066629,9838,0.9336475729942322
1626433139.26839,9868,0.9338052868843079
1626433141.271113,9895,0.933924674987793
1626433142.935573,9918,0.933981716632843
1626433145.284931,9950,0.9341673851013184
1626433147.069546,9974,0.9342687726020813
1626433147.523955,9980,0.9342749714851379
1626433153.674053,10064,0.9347143173217773
1626433155.59853,10091,0.9347071647644043
1626433157.798591,10122,0.934719979763031
1626433162.774673,10192,0.9346922039985657
1626433173.592801,10343,0.9351150989532471
1626433180.989259,10446,0.9354724884033203
1626433181.935594,10459,0.9355170726776123
1626433186.223854,10519,0.9357618093490601
1626433195.295524,10644,0.9360315799713135
1626433195.431071,10646,0.9360330104827881
1626433199.820866,10708,0.9359408617019653
1626433222.845252,11024,0.9364666938781738
1626433229.608623,11119,0.936694860458374
1626433236.802497,11219,0.9369350075721741
1626433244.989458,11332,0.9372432827949524
1626433280.2605,11820,0.9380508661270142
1626433283.761428,11868,0.9381248950958252
1626433295.220164,12028,0.9382336735725403
1626433298.759034,12077,0.9383164048194885
1626433316.112785,12317,0.9386622905731201
1626433318.866512,12355,0.9386929869651794
1626433322.072876,12399,0.9387450814247131
1626433322.218505,12401,0.9387502074241638
1626433327.664924,12477,0.9389046430587769
1626433344.485511,12709,0.939313530921936
1626433381.524514,12906,0.9475136399269104
1626433384.333283,12945,0.9477501511573792
1626433410.251928,13305,0.9468043446540833
1626433416.257318,13389,0.9465498924255371
1626433425.941329,13523,0.9465404748916626
1626433427.941101,13551,0.9465909004211426
1626433433.244545,13624,0.9467403888702393
1626433434.613016,13643,0.9466816186904907
1626433434.980633,13648,0.9466934204101562
1626433446.458937,13803,0.9470325708389282
1626433449.924002,13850,0.9469865560531616
1626433458.645657,13972,0.947083592414856
1626433459.294867,13981,0.9470840096473694
1626433464.010961,14047,0.9469962120056152
1626433474.234587,14189,0.9470717310905457
1626433475.524308,14207,0.9471248388290405
1626433479.793243,14266,0.9472119212150574
1626433486.718047,14362,0.94745272397995
1626433507.329264,14646,0.9478299021720886
1626433514.641819,14746,0.9478481411933899
1626433522.263147,14852,0.9479985237121582
1626433523.198866,14865,0.9480242133140564
1626433534.235639,15020,0.9482090473175049
1626433537.514882,15066,0.948261022567749
1626433537.864073,15071,0.9482589364051819
1626433541.67775,15125,0.9482688307762146
1626433546.066007,15186,0.948258638381958
1626433559.383431,15372,0.9481361508369446
1626433576.900629,15611,0.9482083916664124
1626433578.980141,15639,0.9482371211051941
1626433622.678018,16242,0.9489814639091492
1626433633.645898,16393,0.9491291642189026
1626433665.553379,16835,0.9493505954742432
1626433667.88887,16867,0.9493724703788757
1626433669.103185,16884,0.9493954181671143
1626433670.838159,16908,0.9494234323501587
1626433673.76043,16948,0.9494781494140625
1626433703.605128,17121,0.9526798129081726
1626433704.104436,17128,0.9528789520263672
1626433735.322111,17564,0.9529730081558228
1626433747.475284,17732,0.9528574347496033
1626433766.993663,18006,0.9519736766815186
1626433775.209526,18122,0.9521214365959167
1626433775.789512,18130,0.9521210789680481
1626433776.059945,18134,0.9521302580833435
1626433776.333552,18138,0.9521233439445496
1626433795.505244,18406,0.9526534080505371
1626433801.074214,18482,0.9529130458831787
1626433821.109969,18760,0.9533780217170715
1626433821.543023,18766,0.9533770084381104
1626433823.698348,18796,0.9534074068069458
1626433831.652339,18905,0.9534409642219543
1626433846.704058,19110,0.9536385536193848
1626433846.989356,19114,0.9536400437355042
1626433853.965792,19210,0.9536595344543457
1626433862.034242,19320,0.9536440968513489
1626433866.326485,19378,0.9536126852035522
1626433875.446144,19502,0.9536157846450806
1626433878.829377,19547,0.9536030888557434
1626433884.055059,19618,0.9536714553833008
1626433900.602203,19842,0.9537038207054138
1626433906.631035,19923,0.9538172483444214
1626433912.320846,20000,0.953881025314331
1626433954.913724,20579,0.9540706276893616
1626433957.830504,20619,0.9540958404541016
1626433959.910619,20647,0.9541069269180298
1626433968.407803,20761,0.9541323184967041
1626433974.391853,20842,0.9541367292404175
1626433983.669601,20969,0.954154372215271
1626433988.689372,21037,0.954206109046936
1626433989.84509,21053,0.9542183876037598
1626433995.572322,21130,0.9542859792709351
1626434005.669506,21268,0.9544259309768677
1626434008.921811,21312,0.9544402956962585
1626434058.507864,21677,0.9570000171661377
1626434086.682859,22064,0.9566982984542847
1626434093.858437,22163,0.9566435217857361
1626434104.524235,22308,0.9567492008209229
1626434133.054757,22703,0.9572495222091675
1626434159.177692,23072,0.9575616121292114
1626434161.725955,23107,0.9575653672218323
1626434183.058814,23407,0.9575879573822021
1626434183.123012,23408,0.957589328289032
1626434189.626303,23501,0.957660973072052
1626434195.904954,23590,0.9577515721321106
1626434251.845924,24379,0.9577617645263672
1626434258.373348,24470,0.9577978253364563
1626434258.655175,24474,0.9577908515930176
1626434275.178357,24705,0.9578779339790344
1626434276.144379,24719,0.9578714966773987
1626434279.005447,24759,0.9578973650932312
1626434283.968658,24829,0.9579505920410156
1626434285.015401,24844,0.957969069480896
1626434291.813924,24939,0.9580330848693848
1626434295.585282,24992,0.9580791592597961
1626434299.975486,25054,0.9581136703491211
1626434304.152749,25113,0.9581329822540283
1626434313.783985,25250,0.9580140709877014
1626434327.730448,25445,0.9580049514770508
1626434360.54063,25650,0.9583359360694885
