Wall time,Step,Value
1626491506.616888,173,0.7173234224319458
1626491511.08131,245,0.7436575889587402
1626491524.333158,466,0.781438946723938
1626491527.012051,511,0.7852949500083923
1626491529.811912,557,0.7891116738319397
1626491535.897858,659,0.7958595752716064
1626491544.574765,805,0.8033900260925293
1626491557.959925,1027,0.8123009204864502
1626491564.529346,1133,0.8157332539558411
1626491567.77787,1185,0.8172784447669983
1626491573.186241,1272,0.8193776607513428
1626491582.147629,1418,0.822955846786499
1626491584.653047,1459,0.8239850997924805
1626491586.781141,1495,0.8249037861824036
1626491587.724312,1511,0.8251633644104004
1626491590.031404,1549,0.8260011672973633
1626491591.09731,1566,0.8263192176818848
1626491613.406659,1941,0.8335247039794922
1626491614.598501,1961,0.8337475061416626
1626491648.030196,2504,0.8418416380882263
1626491652.572626,2578,0.8429664969444275
1626491659.473663,2694,0.8446234464645386
1626491660.365479,2709,0.8448832631111145
1626491660.898335,2718,0.8450591564178467
1626491682.705053,3084,0.8499264717102051
1626491692.422665,3242,0.8518896102905273
1626491693.939201,3266,0.8521957397460938
1626491713.065626,3567,0.8558310866355896
1626491715.147959,3601,0.8562829494476318
1626491718.339831,3655,0.8569074273109436
1626491719.209054,3669,0.8570847511291504
1626491741.352664,4024,0.8604969382286072
1626491746.471816,4110,0.8613767027854919
1626491747.17754,4122,0.8615021705627441
1626491750.726025,4182,0.8620617389678955
1626491753.47778,4228,0.8625362515449524
1626491783.758359,4329,0.8985577821731567
1626491798.486013,4565,0.9038609266281128
1626491814.860016,4833,0.9059123396873474
1626491830.315463,5091,0.9074454307556152
1626491833.085444,5137,0.9076471328735352
1626491836.101704,5188,0.9077115654945374
1626491836.883681,5201,0.9078062772750854
1626491840.611204,5263,0.9081782102584839
1626491842.610034,5296,0.9084124565124512
1626491846.659923,5363,0.908788800239563
1626491852.26511,5455,0.9091039299964905
1626491865.588375,5668,0.9101243019104004
1626491875.885728,5833,0.9111437797546387
1626491877.932012,5867,0.9113807678222656
1626491884.824995,5982,0.9120526313781738
1626491885.78255,5998,0.9120556116104126
1626491889.137769,6054,0.9124723076820374
1626491894.230609,6139,0.9126608371734619
1626491899.387338,6226,0.9127659797668457
1626491902.589658,6280,0.9130140542984009
1626491905.844668,6335,0.9133774638175964
1626491907.953501,6370,0.913503885269165
1626491920.020196,6570,0.9138429164886475
1626491930.044852,6731,0.9145348072052002
1626491931.291658,6751,0.9146161675453186
1626491937.555095,6851,0.9151507019996643
1626491941.834415,6920,0.9153327941894531
1626491946.137354,6992,0.9155668020248413
1626491949.870662,7055,0.9158796072006226
1626491961.668881,7254,0.9168210029602051
1626491972.547731,7437,0.9175741672515869
1626491974.218796,7465,0.9176763892173767
1626491984.953504,7645,0.9182239770889282
1626491990.301058,7731,0.9185789823532104
1626492006.236166,7987,0.9194265007972717
1626492014.512436,8123,0.919915497303009
1626492024.489179,8292,0.9200783371925354
1626492054.703014,8549,0.9328043460845947
1626492055.069607,8555,0.93133544921875
1626492059.04749,8619,0.9322106838226318
1626492061.535227,8660,0.9340461492538452
1626492063.700295,8695,0.9342657923698425
1626492065.56571,8725,0.934563159942627
1626492067.302736,8753,0.9348955154418945
1626492068.813738,8777,0.9350233674049377
1626492068.949355,8779,0.9349595308303833
1626492091.84748,9153,0.9360719323158264
1626492098.061544,9253,0.9363352060317993
1626492100.49106,9292,0.9365693926811218
1626492102.71314,9328,0.9365119338035583
1626492104.701749,9360,0.9366094470024109
1626492115.925278,9548,0.9368377923965454
1626492125.651806,9713,0.936881422996521
1626492128.085404,9754,0.9369497299194336
1626492133.030321,9838,0.9372972249984741
1626492134.761413,9868,0.937357485294342
1626492136.363648,9895,0.9373855590820312
1626492137.737147,9918,0.9374727010726929
1626492139.592452,9950,0.9375640749931335
1626492141.009941,9974,0.9376629590988159
1626492141.358864,9980,0.9376769661903381
1626492146.288722,10064,0.9381093382835388
1626492147.886835,10091,0.9381372332572937
1626492149.783849,10122,0.9382520318031311
1626492154.169354,10192,0.9382730722427368
1626492163.528352,10343,0.9385210275650024
1626492169.890164,10446,0.9387038946151733
1626492170.696025,10459,0.9387056827545166
1626492174.361823,10519,0.9387966394424438
1626492181.774472,10644,0.9390500783920288
1626492181.891666,10646,0.9390562772750854
1626492185.526018,10708,0.939241886138916
1626492204.21347,11024,0.9399954080581665
1626492209.824088,11119,0.9400485754013062
1626492215.811995,11219,0.9401900172233582
1626492222.818847,11332,0.9404745697975159
1626492252.574644,11820,0.9411271214485168
1626492255.382318,11868,0.9412282109260559
1626492264.855343,12028,0.9415363073348999
1626492267.738738,12077,0.9416137933731079
1626492281.976187,12317,0.9419665336608887
1626492284.300803,12355,0.9419612288475037
1626492287.003089,12399,0.9420057535171509
1626492287.131082,12401,0.9420080780982971
1626492291.790684,12477,0.9421340227127075
1626492306.158637,12709,0.9424952864646912
1626492339.109384,12906,0.9491106271743774
1626492341.389327,12945,0.9479880928993225
1626492363.354659,13305,0.9469273686408997
1626492368.521027,13389,0.947250485420227
1626492376.521992,13523,0.9480046629905701
1626492378.130766,13551,0.9481104016304016
1626492382.583409,13624,0.9481499791145325
1626492383.767741,13643,0.9481654167175293
1626492384.074778,13648,0.9481748342514038
1626492393.69551,13803,0.9482445120811462
1626492396.588545,13850,0.9483450651168823
1626492404.078519,13972,0.9483945965766907
1626492404.607331,13981,0.9483941197395325
1626492408.517423,14047,0.9485711455345154
1626492416.97237,14189,0.9488633275032043
1626492418.088741,14207,0.9488468170166016
1626492421.656124,14266,0.9489175081253052
1626492427.326189,14362,0.948743462562561
1626492444.169438,14646,0.9487822651863098
1626492450.373885,14746,0.9490069150924683
1626492456.959527,14852,0.9489494562149048
1626492457.765186,14865,0.948951005935669
1626492467.323336,15020,0.9490212798118591
1626492470.193114,15066,0.9490501284599304
1626492470.499293,15071,0.9490646123886108
1626492473.69988,15125,0.9491471648216248
1626492477.305777,15186,0.9491926431655884
1626492488.274711,15372,0.9493885040283203
1626492502.363478,15611,0.9496430158615112
1626492504.019589,15639,0.9496917724609375
1626492540.777622,16242,0.9505114555358887
1626492549.643405,16393,0.9507356286048889
1626492575.808805,16835,0.951054036617279
1626492577.699333,16867,0.9510481953620911
1626492578.746946,16884,0.9510367512702942
1626492580.243483,16908,0.9510362148284912
1626492582.726661,16948,0.9510458707809448
1626492615.462936,17121,0.9565909504890442
1626492615.86898,17128,0.955364465713501
1626492641.679814,17564,0.9564068913459778
1626492651.945029,17732,0.9548316597938538
1626492669.005978,18006,0.9547256827354431
1626492675.800159,18122,0.9548956155776978
1626492676.266488,18130,0.9549241662025452
1626492676.505312,18134,0.9549124240875244
1626492676.74081,18138,0.9549280405044556
1626492692.548198,18406,0.9552359580993652
1626492697.036588,18482,0.955337643623352
1626492713.464718,18760,0.9555824995040894
1626492713.846861,18766,0.9555720686912537
1626492715.688224,18796,0.9556004405021667
1626492722.444257,18905,0.9556263089179993
1626492735.018703,19110,0.9556392431259155
1626492735.250454,19114,0.955636739730835
1626492740.968337,19210,0.9554545879364014
1626492747.60483,19320,0.9554628133773804
1626492751.167937,19378,0.9554949998855591
1626492758.852335,19502,0.9555580019950867
1626492761.620327,19547,0.9556078314781189
1626492765.934343,19618,0.95563805103302
1626492779.152951,19842,0.9557140469551086
1626492783.89023,19923,0.9556623697280884
1626492788.343412,20000,0.9557107090950012
1626492822.636302,20579,0.9559155702590942
1626492825.092871,20619,0.9559457898139954
1626492826.790402,20647,0.9559074640274048
1626492833.719294,20761,0.9556781053543091
1626492838.492383,20842,0.955629825592041
1626492845.917435,20969,0.9555562734603882
1626492849.888928,21037,0.9556059241294861
1626492850.815499,21053,0.9556146264076233
1626492855.285622,21130,0.9556289911270142
1626492863.353228,21268,0.9557083249092102
1626492865.937517,21312,0.955725908279419
1626492909.382721,21677,0.9567105174064636
1626492932.099817,22064,0.9575600028038025
1626492937.864144,22163,0.9579397439956665
